title,duration,imdb_rating,directors,writers,cast,genres,release_date,languages,production_companies
3rd October,,8.4,['Vineet Jha'],"['Vineet Jha', 'Taufique Rahman']","['Moin Khan', 'Hiten Tejwani', 'Sneha Ullal', 'Kanchi Singh', 'Manini Mishra', 'Pratyush Sharma', 'Kunal Kumar Bantalloo', 'Dipanshu Chatterjee', 'Amit Dhawle', 'Nidhi Diwan', 'Vinod Goswami', 'Juhi Harchandani', 'Shraddha Joshi', 'Pushpanshu Kale', 'Pooja Kandare', 'Pankaj Kashyap', 'Sunil Kumar', 'Mridula Oberoi']",['Drama'],"March 29, 2024 (India)",['Hindi'],['Clock N Dail']
Varchasva,,,['Manish Singh'],"['Sanjay Masoomm', 'Rajesh Meera Sharma']","['Mannveer Choudharry', 'Rajesh Das', 'Ekavali Khanna', 'Ravi Kishan', 'Neeraj Mishra', 'Akshay Oberoi', 'Ravi Pandey', 'Aayu Sharma', 'Priyadarshini Singh']",['Crime'],March 2024 (India),['Hindi'],[]
Parampad,,,['Raman Rishi Dwivedi'],"['Kamini Dwivedi', 'Raman Rishi Dwivedi']","['Dev Chauhan', 'Sapna Chauhan', 'Niraj Gautam']",['Drama'],"April 3, 2024 (India)",['Hindi'],"['R S Group Capital', 'Rohini Films']"
Psycho Holibaaz,,,['Divyansh Narayan'],['Divyansh Narayan'],['Divyansh Narayan'],['Mystery'],"April 7, 2024 (India)",['Hindi'],['Divyansh Narayan Productions']
Premanidhi Part 2,,,['Premanidhi Majhi'],['Dusmanta Majhi'],"['Neeraj Chauraisya', 'Karan Deol', 'Bibek Majhi', 'Khusiram Majhi', 'Pinku Majhi', 'Premanidhi Majhi', 'Premanidhi Majhi', 'Rihan Majhi', 'Tirtha Majhi']",['Action'],"April 8, 2024 (India)",['Hindi'],"['ddvreturnFilms', 'ddvreturnsFilms']"
Lunatic,,,['Ajay Kumar'],['Ajay Kumar'],"['Mannveer Choudharry', 'Kanchi Singh']",['Thriller'],"April 13, 2024 (India)",['Hindi'],['Blue Heart Multimedia']
Shak,,,['Karan Upadhyay'],['Vishal Anand'],"['Ali Abbas', 'Roshi Alam', 'Vishal Anand']",[],"April 14, 2024 (India)",['Hindi'],['Balaji Magic Studio']
Tatkshan,,8.4,['Vaibhav Verma'],"['Vignesh Nadar', 'Vaibhav Verma']","['Vikrant Rai', 'Pallavi Singh', 'Iamrealmohsin', 'Muskaan Lalwani', 'Akanksha Pandey', 'Gaurav Singh', 'Akash Pandey', 'Sumit Sagar', 'Ruchi Singh Rathore', 'Muskan Lalwani']","['Action', 'Crime', 'Mystery', 'Thriller']","April 19, 2024 (India)",['Hindi'],"['Bhurv Group', 'Bhurv Group']"
The Killer,,,['Supratik Ganguly'],['Supratik Ganguly'],"['Arghadeep Banerjee', 'Suman Chakraborty', 'Chirag', 'Saurav Das', 'Swapan Kumar Datta', 'Supratik Ganguly', 'Swastik Ganguly', 'Marie-Louise Gouws', 'Sonu Mahato', 'Mahendra Maraiya', 'Ankita Mondal', 'Puja Mondal', 'Vishal Pandit', 'Varsha Rana', 'Claude Rossouw', 'Saptashya Saha', 'Debabrata Sarkar', 'Shweta Singh']","['Action', 'Mystery', 'Thriller']","April 19, 2024 (India)",['Hindi'],['World24 Films']
The Legacy of Jineshwar,,6.8,"['Pradeep P Jadhav', 'Pradeep P Jadhav']",['Prashant Beybaar'],"['Manish Bishla', 'Raanveer Chahal', 'Sharad Gore', 'Swayam Joshi', 'Anil Lalwani', 'Surendra Pal', 'Tushar Phulke', 'Akshay Verma', 'Shubham Vyas']",['History'],"April 19, 2024 (India)",['Hindi'],['Mahaveer Talkies']
