Actresses
Aadya Prasad
Aarohi Saud
Aarti Vazirani
Aashriya Mishra
Aastha Anand
Abeer Goel
Achint Kaur
Adah Sharma
Aditi Bhatpahri
Aditi Khurana
Aditi Sandhya Sharma
Adrija Sinha
Ahilya Bamroo
Aishwarya Dutta
Akanksha Saini
Akanksha
Akanksha Ranjan Kapoor
Akanshi Bhalla
Aksha Pardasany
Akshata Acharya
Akshita Namdev
Alaya F
Alia Bhatt
Alika Nair
Alka Amin
Alka Badola Kaushal
Alpana Buch
Amber Elizabeth
Ambika Kamal
Ambika Vani
Ameesha Patel
Amisha Singh
Amreen Kaur Shahpuri
Amruta Ranjan
Amy Jackson
Amyth Sethi
Anangsha Biswas
Anannya Vaidya
Ananya Agarwal
Ananya Panday
Anaya Shivan
Angela Krislinzki
Anisa Butt
Anita Kulkarni
Anita Meet
Anjali Joshi
Anjali Patil
Anjali Sardana
Anju Rajiv
Anjum Batra
Ankita Dwivedi
Ankita Lokhande
Ankita Sharma
Anubha Arora
Anubha Fatehpuria
Anuja Jain
Anujja Jain
Anushka Kaushik
Anya Singh
Aparna Giri
Aparna Upadhyay
Arista Mehta
Arrchita Agarwaal
Arshin Mehta
Aruna Beniwal
Aruna Irani
Arya Gautam
Asha Bisariya
Asheema Vardaan
Ashnoor Kaur
Ashwini Kalsekar
Ashwini Koul
Asmi Tulsyan
Ayesha Athar
B. Jayashree
Babita Christie
Baljinder Kaur
Banveen Singh
Barkha Sengupta
Beena Banerjee
Benedicta
Bhagya Nair
Bhagyashree Chauhan
Bhagyashree Limaye
Bhagyashri Borse
Bhakti Kubavat
Bhakti Rathod
Bharti Achrekar
Bhavna Singh
Bhawsheel Singh Sahni
Bhoomika Chawla
Bhoomika Meena
Bhumi Pednekar
Bhumi Rajgor
Bhumi Dube
Bidita Bag
Bijou Thaangjam
Bindhu Madhavi
Bonita Rajpurohit
Chandrakala
Charu Shankar
Chhaya Kadam
Cindy Bamrah
Caprice Ott
Carl A. Harte
Deepika Amin
Deepika Padukone
Denisha Ghumra
Deshna Dugad
Devoleena Bhattacharjee
Devyansh Tapuriah
Diana Penty
Diksha J Singh
Dipika Pandey
Disha Patani
Divya Dutta
Divya Khossla
Diya Jandu
Dolly Verma
Drishti Gaba
Ekavali Khanna
Elakshi A Gupta
Eliza Kim
Emily R. Acland
Falaq Rahi
Farhana Bhat
Farhana Fatema
Farheen Khan
Farida Dadi
Farina Nizam
Farkhondeh Farmanizadeh
Flora Jacob
Gajala
Gandhali Jain
Garima Agarwal
Garima Kapoor
Gayathrie
Gayatri Yamkar
Geeta Sodhi
Geetika Vidya Ohlyan
Giaa Manek
Gita Guha
Grusha Kapoor
Guddi Maruti
Gulista Alija
Gunjan Jain
Gurpreet Bedi-Sondh
Gurpreet Kkaur
Gwen Hussein
Heerah Fateema Haadiyah
Heet Gandhi
Heital Puniwala
Hella Stichlmair
Hemangi Kavi
Himanshi Choudhary
Himanshi Parashar
Hiral Sidhu
Hitha Chandrashekar
Hitu Kanodia
Ila Arun
Ileana D'Cruz
Indeepa Singh
Ipshita Chakraborty Singh
Iravati Harshe
Isha Sood
Ishika Gagneja
Ishita Raj
Ishita Trivedi
Ishitta Arun
Ishlin Prasad
Ivana Kaur
Janhvi Kapoor
Janki Bodiwala
Janya Khandpur
Janet Carter
Jaya Ojha
Jazzy B
Jeniffer Piccinato
Jamie Lever
Jhumma Mitra
Jinal Joshi
Jiya Bharti
Kajol
Kalpana Gagdekar
Kalyani Gangola
Kamala
Kanchan Bhor
Kanchan Mullick
Kanchi Singh
Kareena Kapoor
Karisma Kapoor
Kashika Kapoor
Kathy Blaze Jefferson
Katrina Kaif
Kavita Srivastava
Kavita Virmani
Keerthy Suresh
Kelly Dorji
Ketika Sharma
Khanak Budhiraja
Khushali Kumar
Khushbu Patariya
Khushbu Sundar
Khushi Hajare
Kiran Jhangiani
Kiran Karmarkar
Kiran Kumar
Komal Jha
Komal Somare
Kratika Pancholi
Kriti Sanon
Kritika Bharadwaj
Kubbra Sait
Leena Singh
Lilette Dubey
Lisa Ray
Lovely Sharma
Maahi Jain
Madhoo
Madhu Nambiar
Madhu Singh
Madhuri Dixit
Madhurima Ghosh
Maeha Sharma
Malavika Mohanan
Mallika Sherawat
Malvi Malhotra
Mamta
Manasi Joshi Roy
Manisha Dutta
Manisha Kumari
Manjari Chaudhary
Manjari Fadnnis
Mann Gandhi
Manu Malkani
Manushi Chhillar
Manya Singh
Meena Patel
Meezaan Jafri
Meher Vij
Meira Sengupta
Mishka Gambhir
Mithu Dey
Mohini Chaudhary
Mona Ambegaonkar
Mona Singh
Monali Thakur
Monica Chaudhary
Monica Nash
Monika Choudhary
Monika Chowdhury
Monika Panwar
Mouni Roy
Mozhgan Taraneh
Muskan Jain
Naaz Shaikh
Naila Grrewal
Nandini Ratley
Narayani Shastri
Natasha Rastogi
Navina Bole
Navneet Kaur Dhillon
Navni Parihar
Nazneen Madan
