title,duration,imdb_rating,directors,writers,cast,genres,release_date,languages,production_companies
Pride,PT2H5M,8.5,['Pankaj Kr Virat'],['Pankaj Kr Virat'],"['Anjita Adhikari', 'Christina Bali', 'Aishwarya Raj Bhakuni', 'Vishal Bhardwaj', 'Mimoh Chakraborty', 'Chandrakant', 'Rekha Chaudhary', 'Dalip Gulati', 'Sarvesh Gupta', 'Raj Nandani Kashyap', 'Allauddin Khan', 'Irfan Khan', 'Shubhangi Latkar', 'Soumya Pandey', 'Abram Putten', 'Raju Shrestha', 'Sushil Singh', 'Ishan Yadav']","['Drama', 'Mystery', 'Thriller']","July 26, 2024 (India)",['Hindi'],['Omaks Productions']
Uparwala & Sons,PT2H6M,9.2,['Kunjan Verma'],['Kunjan Verma'],"['Anvayaksh', 'Prerna Rawat', 'Akshay Panwar Nambardar', 'Hitarth Oberoi', 'Hanun Bawra', 'Lakshay Chawla', 'Sarita Chaturvedi', 'Ashish Gautam', 'Dhruv Lau', 'Aarambhikka Oberoi', 'Ravi Shankar', 'Ravi Shankar', 'Malti Verma', 'Manish Verma', 'Rudhansh Verma', 'Vidhyanshi Verma']","['Comedy', 'Drama', 'Family']","July 26, 2024 (India)",['Hindi'],"['A Bagful of Stories', 'Ashmeen Films', 'Matrices Communication Solutions']"
A Long Walk to Happiness,PT1H13M,9.2,['Tarun Sardana'],['Tarun Sardana'],"['Anurag Anand', 'Jawahar Kaul', 'Shailja Pal', 'Vidisha Raghuvanshi', 'Tarun Sardana', 'Rashmeet Kaur Sethi', 'Gurmeet Singh']",['Drama'],"August 7, 2024 (India)",['Hindi'],[]
Kunwarapur,PT2H15M,9.3,['Rajendra Rathor'],"['Manoj Pandey', 'Avinash Tiwari']","['Avinash Tiwari', 'Annapoorana Dwivedi', 'Vikram Kochhar', 'Govardhan Asrani', 'Urmila Sharma', 'Manoj Tiger', 'Garima Agarwal', 'Anupriya Laxmi Katoch', 'Arpit Mishra', 'Krishna Mishra Nandi']",['Comedy'],"August 9, 2024 (India)","['Hindi', 'Awadhi']",['Avinash Films']
Problem Toh Hai,PT2H9M,9.7,['Vishan Yadav'],['Ahmad Siddiqui'],['Deepak Kumar Striker'],['Comedy'],"August 23, 2024 (India)",['Hindi'],['Sufraso Entertainment']
Pad Gaye Pange,PT1H58M,8.8,['Santosh Kumar'],['Manish Kumar'],"['Samarpan Singh', 'Rajesh Sharma', 'Rajpal Naurang Yadav', 'Rrajesh Yadav', 'Faisal Malik', 'Varsha Rekhate', 'Sukhdev Barnala', 'Chandan Singh Gill']",['Comedy'],"August 30, 2024 (India)",['Hindi'],"['Prachi Films', 'Utter Action']"
Superboys of Malegaon,PT2H7M,8.2,['Reema Kagti'],"['Varun Grover', 'Reema Kagti']","['Adarsh Gourav', 'Anuj Singh Duhan', 'Jagdish Rajpurohit', 'Ali Abbas', 'Shashank Arora', 'Saqib Ayub', 'Muskkaan Jaferi', 'Nirbhay Jain', 'Harshad Kumar', 'Riddhi Kumar', 'Chetan Swaroop Mishra', 'Neha Mishra', 'Athar Nawaaz', 'Ananya Pathak', 'Manjiri Pupala', 'Pallav Singh', 'Vineet Kumar Singh', 'Gyanendra Tripathi']",['Comedy'],January 2025 (India),['Hindi'],"['Excel Entertainment', 'Tiger Baby Films']"
Salamat Rahe Dostana Hamara (SRDH),PT1H,9.3,['Shivam dandapat'],[],"['Subhadeep Dutta', 'Subham Ghosh', 'Sumana Kuila', 'Hrivu Basu Ray', 'Saptashya Saha']","['Drama', 'Family']","September 17, 2024 (India)",['Hindi'],[]
Dhaaak,PT2H8M,9.0,['Anees Barudwale'],"['Anees Barudwale', 'Nisar Akhtar']","['Mohd Saleem Mullanavar', 'Sheena Shahabadi', 'Avinash Wadhawan', 'Pradeep Singh Rawat', 'Prithvi Vazir', 'Ruslaan Mumtaz', 'Vaishnavi Mahant', 'Nilofar Gesawat', 'Tamsil Shahezad Khan', 'Rajendra Shisatkar', 'Hemant Choudhary', 'Liyakat Nasir', 'Daksh Sethi', 'Zeeshan Moin', 'Kislay Dutt', 'Srivatsa Krishna', 'Rabbi Bishunpuri', 'Navraj Brar']","['Action', 'Romance']","September 20, 2024 (India)",['Hindi'],[]
Sad Letters of an Imaginary Woman,PT1H20M,9.3,['Nidhi Saxena'],['Nidhi Saxena'],"['Bhadra Basu', 'Anamika Tiwari']",['Drama'],"November 10, 2024 (India)",['Hindi'],[]
Ghamasaan,PT2H30M,9.0,['Tigmanshu Dhulia'],"['Tigmanshu Dhulia', 'Piiyush Singh', 'Ram Yash Singh']","['Kraggy Bhaskar', 'Ishita Dutta', 'Pratik Gandhi', 'Rajpal Naurang Yadav', 'Hemant Sharma', 'Arshad Warsi']",['Drama'],"October 20, 2024 (India)",['Hindi'],"['Golden Ratio Films', 'Jio Studios', 'Vistas Media Capital']"
Navras Katha Collage,PT2H23M,8.3,['Praveen Hingonia'],['Praveen Hingonia'],"['Alka Amin', 'Ram Awana', 'Sheeba Chaddha', 'Rohit Chaudhary', 'Shaji Chaudhary', 'Dolphin Dubey', 'Praveen Hingonia', 'Swar Hingonia', 'Amardeep Jha', 'Shriya Jha', 'Alka Badola Kaushal', 'Ruhana Khanna', 'Jashan Singh Kohli', 'Neelu Kohli', 'Bhuvnesh Mann', 'Revathi Pillai', 'Gyan Prakash', 'Krishna Raaz']",['Drama'],"October 25, 2024 (India)",['Hindi'],['Swardhrupad Productions']
Ella,PT1H31M,9.5,['Roshan Fernandes'],['Roshan Fernandes'],"['Makrand Deshpande', 'Saranya Sharma', 'Isha Talwar']",['Fantasy'],"November 8, 2024 (India)",['Hindi'],"['Parashuland Films', 'Uniiq Films']"
The Legend of Sudarshan Chakra,PT2H40M,9.3,['Anil Kulchainiya'],['Anil Kulchainiya'],"['Vivek Anand Mishra', 'Himani Shivpuri', 'Ananth Mahadevan', 'Mushtaq Khan', 'Manmauji', 'Vivek Tripathi', 'Jugnu', 'Anuradha Chandan', 'Dinesh Kaushik', 'Atul Tiwari', 'Banwari Lal Jhol', 'Ashvin Borad', 'Lancy Abraham', 'Akhtar', 'Ankit', 'Sahil Balani', 'Varun Chaudhary', 'Sanjeev Chauhan']",['Biography'],"November 15, 2024 (India)",['Hindi'],"['Nandi Pictures', 'Shiromani Creations']"
Best Movie,PT2H23M,8.6,['B.r'],['Dhvani Joshi'],"['Nalin Dave', 'Nirubha Gohel', 'Bhaavin Joshi', 'Raghu Madhvani', 'Sejal Vanjara']","['Drama', 'Musical']","November 15, 2024 (India)","['Hindi', 'Gujarati', 'Rajasthani']","['Rangat Studio Production', 'Red Apple Film Production']"
Jhanjhaarpur,PT2H20M,9.2,['Navin Chandra Ganesh'],['Navin Chandra Ganesh'],"['Gaurav Ambare', 'Suhas Bansod', 'Apurva Dutta', 'Ujjwala Ganguly', 'Gautam Gulaal', 'Sarbind Kumar', 'Shaina Lebana', 'Aishwarya Manohar', 'Aaryan Rajak', 'Shashank Sudhakarrao Sao', 'Vinod Saroj', 'Sagar Singh', 'Sanjay Kumar Singh', 'Manjari Mani Tripathi']",['Drama'],"December 8, 2024 (India)",['Hindi'],['Sao Films']
