title,duration,imdb_rating,directors,writers,cast,genres,release_date,languages,production_companies
For Bindiya Call Jugnu,PT1H25M,,['Arjun Sumitra'],['Arjun Sumitra'],"['Amit Sial', 'Annukampa Harsh', 'Razak Khan', 'Meghna Naidu', 'Hasan Zaidi', 'Anupam Shyam', 'Nishant Lal']",['Drama'],2024 (India),['Hindi'],['Wetstreet Pictures']
Dushu,PT1H36M,,['Himanshu Mishro Mondal'],['Himanshu Mishro Mondal'],"['Shourya Tiwary', 'Sugandha Srivastava', 'Manuj Sharma', 'Bikas Mukherjee', 'Himanshu Mishro Mondal', 'Kaushal Kapoor', 'Prithwijit Nanda', 'Raja Sarkar', 'Debapriya Acharjee', 'Rajeev Sinha', 'Adrija Basu', 'Sushant Dan', 'Sampriti Mahato', 'Shambhunath Mukherjee', 'Agnish Prasad Mukhyopadhyay']","['Adventure', 'Biography', 'Drama']",2024 (India),['Hindi'],"['CountrysidePhools', 'HUM Pictures']"
Talaq Mubarak,PT2H53M,,"['Sasha Alahm', 'Sohaib Zaman']","['Sasha Alahm', 'Sohaib Zaman']","['Subir Rana', 'Ana Ilmi', 'Kunal Mehta', 'Rajkumar Kanojia', 'Rashmi Shrivastava', 'Sameer Siddiqui', 'Priyanka Thakur', 'Kavita Jindal', 'Deepali Chopra', 'Anirudh Rathour', 'Mannat Sandhu', 'Nivedita Sinha', 'Vishwajeet Raj', 'Syed Abbas Haider Naqvi', 'Abhishek Kumar', 'Neha Rajput', 'Pankaj Mishra', 'Irfan Jami']",['Drama'],2024 (India),['Hindi'],['Oh Boy Films']
Leer,PT1H33M,,['Nalin Kulshreshtha'],"['Rohan Gadi', 'Sahil Kapoor', 'Nalin Kulshreshtha']","['Gina Fernandes', 'Surya Mohan Arya', 'Vinay Vivaan', 'Ayush Doshi', 'Sahil Kapoor', 'Janvi Bharat Naval', 'Kanchan Prasad', 'Deepak Yadav', 'Rajshree Manjule', 'Shani Sumitra', 'Vaidehi Gor']",['Drama'],,['Hindi'],['31 House Productions']
Crab in A Bucket,PT2H5M,,['Prakash Saini'],"['Prakash Saini', 'Animesh Vishal']","['Snehalata Siddharth', 'Giirish Singh', 'Daiveek Ddeshraaj', 'Jayantika Sen Gupta', 'Vinod Kumar']",['Drama'],,['Hindi'],['Stripes Entertainment']
Charlie in Wonderland,PT1H22M,,['Subhankar Adhikary'],['Subhankar Adhikary'],"['Moumita Debnath', 'Sajal Mondal', 'Suman Roy', 'Himadri Sekhar Dey', 'Jagannath Chatterjee', 'Debarati Pal', 'Shovan Pal', 'Jamini Sardar', 'Bishnu Shaw', 'Rishav Ghosh', 'Dibyojoti Karmakar', 'Samim Hossain']",['Drama'],,"['Hindi', 'Bengali', 'English']",['Subhankar Adhikary Production']
Hamari Ramleela,PT1H59M,,['Rinku Sharma'],"['Pradyumna Bawari', 'Rinku Sharma']",['Arush Paterya'],"['Comedy', 'Documentary', 'Drama', 'Family', 'Music']",,['Hindi'],[]
Sanket,PT1H32M,,['Siraj Ansari'],['Siraj Ansari'],"['Evelina David', 'Kunal Mavani', 'Narendra Jain', 'Aditi Bhaskar', 'Sarb Singh', 'Dipankar Bahalia']","['Drama', 'Mystery']",,['Hindi'],"['Evelight Production', 'Riz Vfx Production']"
Risk Takers,PT1H,,['Siddhesh Pandey'],"['Simon Howard', 'Siddhesh Pandey', 'Rachel Reuben']","['Janab Ali', 'Azaad Sheikh', 'Rajaram', 'Shobha', 'Asha', 'Akash Chande', 'Raj Lokhande', 'Jeevan Jadhav', 'Rajshri', 'Kalu Sharafat Hussain']",['Documentary'],,['Hindi'],[]
The Cleanup,PT46M,,['Sagar Manikhedkar'],['Aditya Ahire'],"['Sagar Manikhedkar', 'Aditya Ahire', 'Altaf Ansari']",['Action'],,['Hindi'],[]
Dil Kya Kahe,PT2H,,['Aniruddha Sharma'],['Aniruddha Sharma'],"['Ravindra Deodhar', 'Tarun Fulwar', 'Radhika Hangekar', 'Uttam Mohanty', 'Ashwini Oak', 'Aniruddha Sharma', 'Madhu Singh', 'Amrita Tanganiya', 'Geetanjali Vajpayee', 'Shantanu Verma', 'Madhura Wagh']",['Drama'],2024 (India),['Hindi'],[]
